Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,1719,600,7.595086273962635,0.7722034638225109,0.9593806406448749
1468,1528,600,8.58879772601393,0.8521526655839073,0.5060472016458424
1465,955,600,15.19107228901637,0.7965648288446326,0.8548015493058866
1464,764,600,20.267863028192263,0.9381544931217612,0.8376968753898555
1467,1337,600,10.115798361537854,0.7772380950270797,0.4051896480714792
1466,1146,600,12.122423332515504,0.7850199486089047,1.3559873449670612
1461,191,600,48.860164000239784,1.315555053131005,0.9844538419776073
1460,10,600,56.9069429515666,1.8282876894740965,2.8977586759341993
1463,573,600,27.893088244928606,1.0366986929906534,0.6259954017798687
1462,382,600,38.23346502710332,1.1229090157430637,0.37558757892221933
1490,1908,1000,11.731480671493333,0.805597789068,0.39306902917579406
1491,2226,1000,10.526746124319672,0.7940890581291328,0.6849380866899181
1492,2544,1000,8.537848758759566,0.7391056995317024,0.38548597192844447
1493,2862,1000,7.292892713606474,0.7907712104647662,0.8962423673255954
1494,3180,1000,6.247918809396818,0.7634168650798667,0.46952390791687154
1495,3498,1000,5.391800520019019,0.7149049626979,0.497768492021519
1418,384,200,12.437351389184832,0.7379184492333276,0.5956536343827045
1419,448,200,10.692665202976892,0.7276786455548689,0.24248858390270522
1410,-640,200,8.103806906145172,0.7473967856858802,0.18146735281287973
1411,-704,200,6.93480615504004,0.7004875356403029,0.9275033556790361
1412,10,200,63.9915437729156,1.7218508378180022,13.656634661358234
1413,64,200,54.14491533662776,1.5044903853944718,0.9862065467431851
1414,128,200,41.28657272396375,1.349004693720214,0.3537192316950462
1415,192,200,29.687077170453357,1.1389329598819173,0.7909783740958627
1416,256,200,21.26247774791628,0.9996186527268496,1.0735019962171195
1417,320,200,16.306032869975372,0.8573702846957901,0.20719956077546856
1483,-3498,1000,6.082748862057041,0.6904663091640922,1.6074082457529808
1482,-3180,1000,6.174005861082111,0.7936692671155203,1.5466512611664662
1481,-2862,1000,7.48013163750471,0.6847325683558362,0.13682089301018036
1480,-2544,1000,8.833573010531712,0.7933493326980321,1.1386627448425346
1487,954,1000,27.78443458448003,1.0741822896224933,0.7031442386988154
1486,636,1000,37.060394974906444,1.1282099557624536,0.15940891287938475
1485,318,1000,46.94057620809173,1.5501473358712783,0.11124218072458592
1484,10,1000,54.028766795668915,1.588449882479847,0.20582556262651022
1489,1590,1000,14.863106820987358,0.8705286073149956,0.14920172771838366
1488,1272,1000,20.056596753676075,0.9237939421509259,3.047388892850113
1409,-576,200,9.179443671195905,0.7833017371933593,2.133081568920172
1408,-512,200,11.249080972042945,0.7625117879575236,0.5658356600556407
1403,-192,200,38.30546868661264,1.2496329990492305,1.7320851472156609
1402,-128,200,48.959967882091,1.4877874466329253,3.4240810744956622
1401,-64,200,59.977639927675696,1.5738524321672467,5.8790965945083355
1400,-10,200,63.00423151308473,1.904952019324074,11.002642350991875
1407,-448,200,14.042113990090497,0.8318691628026154,1.4447503118285259
1406,-384,200,18.893631430717523,0.8964907808223377,1.3789690698398935
1405,-320,200,24.44973533662004,1.048431024687981,1.3222896997854485
1404,-256,200,30.90557257680942,1.0779824434452825,2.358688573403699
