Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1469,1719,600,7.05222637871293,0.29638581529237124,1.5507905601783118
1468,1528,600,7.823720020614121,0.31048029557454354,0.5728256478971135
1465,955,600,14.322027287013647,0.34605537335723224,1.359141110423627
1464,764,600,18.762071173574743,0.3689464576203999,0.3837071928409297
1467,1337,600,9.511439733360199,0.3098154313718533,0.706719187437197
1466,1146,600,11.518583371320894,0.3413317131535042,0.6486083211350776
1461,191,600,43.81210592377682,0.6468805834350378,1.3222014882229045
1460,10,600,48.81932365304538,0.6412155749905849,1.5263090929048555
1463,573,600,25.211754967183182,0.4177115873368395,1.7753065157756358
1462,382,600,34.00417467953021,0.5316814281984803,0.535038814777895
1490,1908,1000,11.363810243244341,0.30218672796854334,0.20183033146959398
1491,2226,1000,9.282820567568098,0.2812280136465832,1.590137925387167
1492,2544,1000,8.058146719225244,0.28871604977559256,0.09526069369012306
1493,2862,1000,6.91373407498761,0.2803201173488346,2.098435615181661
1494,3180,1000,5.999130577130284,0.2925858118352177,0.7899570474662951
1495,3498,1000,5.339579532421546,0.2864508013389657,0.45504359941135
1418,384,200,11.718177909747967,0.31631600193953846,0.8170512049419837
1419,448,200,9.588310554566295,0.30621489068903557,0.8456197814202905
1410,-640,200,6.838638675525266,0.2740206589866106,0.8841792891171959
1411,-704,200,5.678039200086286,0.2546952526313039,0.4157339561596178
1412,10,200,48.559291411446694,0.6756168076104456,2.5352039395812844
1413,64,200,44.925875383367604,0.6803877605867682,2.806856637900298
1414,128,200,34.41145658290712,0.4988493321624495,1.1743913877315026
1415,192,200,25.146448379216494,0.4556961690091133,1.0851007175718677
1416,256,200,19.097078309646616,0.3794818255730412,2.9257144339756054
1417,320,200,14.631925601812274,0.34933619474948896,1.6785847766793018
1483,-3498,1000,5.488455777460554,0.2618191090140973,1.2102246293421695
1482,-3180,1000,6.208653864626648,0.28098451052991535,1.8715584027104806
1481,-2862,1000,7.251364437401448,0.2977670213963157,0.6015642109900163
1480,-2544,1000,8.031517757541886,0.3034312409098949,0.24614269437321842
1487,954,1000,25.39874890702079,0.4603300268306203,1.088488595710807
1486,636,1000,33.78381121535202,0.5363419290237984,0.6278017060773866
1485,318,1000,43.59662569752096,0.6812254584986069,0.995554267042111
1484,10,1000,48.63625443903249,0.6798701234580258,0.6108482165283037
1489,1590,1000,14.302236255102661,0.3277578865066239,0.6318333303549534
1488,1272,1000,18.68620016427292,0.3545993125237967,1.3559175700070272
1409,-576,200,7.359796551331288,0.2705835401801444,0.2414924406418589
1408,-512,200,8.827047124054667,0.3088755399629767,3.840221187302457
1403,-192,200,26.642390536963536,0.47601671662147843,3.217309786843927
1402,-128,200,35.867913343062945,0.5483062473142144,6.14327697161913
1401,-64,200,45.314939430381585,0.6536075071621035,3.539787564205302
1400,-10,200,49.3791174303531,0.7351395727027719,6.91164966938079
1407,-448,200,10.248260990509868,0.28090604175941364,0.2707206382270158
1406,-384,200,12.5912648876263,0.3296508476973259,1.1190180329398
1405,-320,200,15.400113738416422,0.3903231220226514,2.994886872839292
1404,-256,200,20.249689733908564,0.39136990823147616,1.695505052613302
1436,10,400,49.161746372385885,0.899974147999792,6.554979992429825
1437,127,400,44.181811689049916,0.6300734970340914,1.981517176196058
