Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1542,3180,1000,3.299037262967171,0.17779971446332196,1.3796853411492134
1543,3498,1000,3.00190206393113,0.20996365871087372,0.8969526425549633
1540,2544,1000,4.015491862341507,0.21944226695695143,0.12660490637449348
1541,2862,1000,3.6699611290040974,0.18855781534541194,0.7460147736607569
1526,-1908,1000,5.538077988519679,0.19944709966735108,0.46509333539513226
1527,-2226,1000,4.53625389158521,0.19645995193254848,1.580274294050395
1469,1143,400,3.6304871817935402,0.19758233080591922,0.1794812876224422
1468,1016,400,4.225120762129116,0.1896896291465367,1.0851297767048893
1465,635,400,7.149555626894465,0.20451981951206838,0.14366115802978027
1464,508,400,8.925181662068388,0.2488713799278487,0.06743045524268591
1467,889,400,4.960056963773177,0.20220496367838486,0.7150621976557789
1466,762,400,5.692311447071191,0.2086274441591648,0.7277134810103266
1461,127,400,17.733900501744515,0.2671328479174266,0.08539220359087318
1460,10,400,19.20884019873228,0.3248469595799617,2.0525362628839994
1463,381,400,11.110325758184265,0.27349658968699947,0.2969817108023976
1462,254,400,14.195559440241171,0.26080886309691154,0.33661537284740245
1490,1146,600,5.297087816078004,0.20810697784913448,0.6880243216955185
1491,1337,600,4.581462338202796,0.17356893144622362,0.02579345639728613
1492,1528,600,4.249969454899069,0.19981769629922144,0.9825046851682324
1493,1719,600,3.537641641216832,0.2172735349988388,0.187453472051039
1494,1910,600,3.4417632868772716,0.17596660832039945,0.48695176558937575
1495,2101,600,3.0712768685410756,0.17273372656906474,1.978958580657891
1496,-10,800,18.402807801431415,0.3422156936078253,1.2658460097305733
1497,-255,800,16.685665313505,0.31007529844588705,1.3321534830811992
1498,-510,800,13.465914079825241,0.24867897677594553,0.24514025004901627
1499,-765,800,10.619530276991354,0.23699964061618653,1.116043358197979
1528,-2544,1000,4.053487489149428,0.1994209868751669,0.5376802518108923
1529,-2862,1000,3.64454907827791,0.21314051018326688,1.4463585395613048
1418,288,150,6.234150149124677,0.20816497202635767,1.1956691922778961
1419,336,150,5.669138420265943,0.20272457383526982,0.09249404422443536
1410,-480,150,3.4302303115561026,0.21916720646566618,1.236147420230644
1411,-528,150,3.1239949803799383,0.1818679065595722,0.7082902933516767
1412,10,150,19.596706827671227,0.3511484953521679,2.9117366599385437
1413,48,150,18.006271782521807,0.31679173787045406,1.6577893880042798
1414,96,150,14.883724615939967,0.26751767986804387,1.0901253321225999
1415,144,150,11.733637094502779,0.2613912659466054,1.0487525655387826
1416,192,150,9.112614213344159,0.24054302199179783,2.777412982210891
1417,240,150,7.512224372850723,0.23234188667464692,3.0478846005382287
