Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1029,-2295,800,2.3101030484899923,0.13996371219240783,1.7086084077629604
939,954,1000,5.412504557681816,0.18369831476985576,1.1116378234598685
938,636,1000,6.761165330149546,0.19279702456904368,1.7082365081955195
933,-2862,1000,2.2920167896373744,0.13608291139905332,0.9587963473222917
932,-2544,1000,2.402605276235651,0.1416448924117599,1.4524260651716645
931,-2226,1000,2.6589082658724785,0.13107503401149462,1.3727348815838383
930,-1908,1000,3.1130444154995005,0.138472094694444,3.5670527449757388
937,318,1000,8.142589108295464,0.19044294242826054,0.8632918076581039
936,10,1000,8.673568626912624,0.2072788666928132,3.4795023764621464
935,-3498,1000,1.9311613787714008,0.13025571848038242,3.5279179850741103
934,-3180,1000,2.0377826658932636,0.13536240937724486,2.6028423651269565
995,1397,400,1.9132586737980168,0.1294473239140586,1.4265720216698448
994,1270,400,2.182048219719956,0.1390564230983104,3.5493433087569315
997,-191,600,8.557276886154142,0.21211258093353522,3.757974741596985
996,-10,600,9.715986588247198,0.21409153862848726,4.676951120842607
991,889,400,3.159167872546377,0.15222516397840763,0.5497842525089431
990,762,400,3.8463029855205946,0.13301033323154143,1.1180765808713589
993,1143,400,2.420624762180519,0.11796803594768973,2.001825644821707
992,1016,400,2.8072847437132693,0.13698492675035862,1.6654582164124012
999,-573,600,5.3673076205865975,0.15702498142467322,0.41431467547676365
998,-382,600,6.97948917013785,0.18528322044413512,1.4053175895766223
1014,1146,600,3.1724043306229732,0.1437556967652716,1.064052937252739
1026,-1530,800,3.1731431796770915,0.13662083240454842,2.64138425084732
1015,1337,600,2.729932959977833,0.1411312249707175,1.0436764032766883
1021,-255,800,8.132954754319272,0.20066765607223783,4.848140819245466
1016,1528,600,2.404822184488931,0.1301664032197951,2.0506002341903105
1020,-10,800,9.067236310050518,0.23513885837990586,8.323602311481801
1017,1719,600,2.2970758198435486,0.1285300348264374,1.387385887215565
1023,-765,800,5.30793865463976,0.1573723696430293,3.5095436432790925
1010,382,600,8.048883318410684,0.18778514943913893,2.7187360612218705
1022,-510,800,6.671655998879473,0.19008302900376292,0.5070055066803603
1011,573,600,6.2345147819632585,0.1764651878333067,1.0167115545561634
928,-1272,1000,4.125446912518145,0.15499765382290448,8.632713116336708
929,-1590,1000,3.499043785384229,0.14408303107343445,2.061855894988692
1012,764,600,4.887463385005441,0.14569332695394116,1.2239712207847038
920,4072,1600,2.3932519203121267,0.13257940046927635,2.081924165343427
921,4581,1600,2.2612628782708692,0.12610787624564665,1.90124947316309
922,5090,1600,2.0586785988479592,0.13395017465794917,0.41787840784373237
923,5599,1600,2.022826154798722,0.13843901326658054,0.47798050414766574
924,-10,1000,9.094244417998569,0.20833530842436468,3.9781588578135856
925,-318,1000,8.11264041200006,0.1975933769830851,1.413074145046768
926,-636,1000,6.6096757787003435,0.1621015047962144,1.9991811081669042
927,-954,1000,5.305217239982272,0.14460580064186745,2.0980685621591015
1019,2101,600,1.8768282713001274,0.13573314051387225,1.1008581379467275
988,508,400,6.338163161453667,0.16594980828085742,1.720225073685653
989,635,400,4.616468290633863,0.16728953783301906,1.6433790070243373
982,-1270,400,2.0617803623085638,0.1315687988818776,3.233194123806671
983,-1397,400,2.0375245097608627,0.13003421322098718,3.1009671161156587
980,-1016,400,2.40588140136246,0.130672049662981,4.181600696183724
981,-1143,400,2.3018234921785306,0.15413443445630595,0.8844388869016155
986,254,400,9.298140027404033,0.191326033843712,0.7055275126780852
987,381,400,7.718439033625333,0.1883504742929757,3.86023564920921
984,10,400,10.205428446269655,0.22995588369566444,0.7285323645230224
985,127,400,10.042449876968377,0.21704311904299978,1.6396312985232777
919,3563,1600,2.7377443356487006,0.14015711211153456,5.286293200684474
918,3054,1600,3.1032336313583757,0.1565857929043626,0.6204555966748893
915,1527,1600,5.155928914191434,0.18056885195223243,0.7911124534538582
914,1018,1600,6.514905166231375,0.17395227749643252,0.23469679401554902
917,2545,1600,3.6418477312886735,0.1355344535014545,2.3247476759766674
916,2036,1600,4.123805039727591,0.14453858955516583,0.2280044758586336
911,-5599,1600,2.1149685954277446,0.13774385672317843,8.315931610113122
910,-5090,1600,2.1883958047610474,0.13586630453957738,0.5645637182739566
913,509,1600,7.675256292143404,0.1830393824492729,2.2488682887703146
912,10,1600,8.160318837475632,0.20279359022100726,0.7008787530361844
1025,-1275,800,3.57212996495298,0.15169513454246067,2.93027170528199
1024,-1020,800,4.334654372317809,0.14411187565210495,1.0312860387297966
902,-1018,1600,6.49786153228014,0.1821248565450353,3.2503110797703703
903,-1527,1600,5.1855009359806665,0.17124222445328166,2.3111926891559933
900,-10,1600,8.6158595889343,0.20020305757298895,7.856328406424956
901,-509,1600,7.969277083850158,0.19560265014691383,2.7206278249465097
906,-3054,1600,2.981147873927463,0.13597526198039325,2.1724919877014788
907,-3563,1600,2.6817977102658945,0.1344470297510312,4.29996711303627
904,-2036,1600,4.251871402649377,0.1498501198536226,1.0106344208140803
905,-2545,1600,3.631953992213241,0.1547980252751885,1.0901963305498894
908,-4072,1600,2.269793738327109,0.13699738020990468,1.179560468365005
909,-4581,1600,2.2772090434949366,0.13666770174400977,1.128799020521153
1009,191,600,9.011689961979151,0.20438261984353212,0.20874967287545534
1008,10,600,9.441626256652317,0.21679845941512157,0.12527575840256233
1007,-2101,600,1.9633067525225563,0.1282325188261332,0.38789687538323897
1006,-1910,600,2.034055478613036,0.1293300294913417,0.810276169052169
1005,-1719,600,2.299192440456463,0.13102389080380966,3.542569179855459
1004,-1528,600,2.5687936409453593,0.14273833092931576,1.4739394698462582
1003,-1337,600,2.7564412242620766,0.14617561369679974,2.551688146745478
1002,-1146,600,2.98558055400505,0.14542521846107873,0.8256483121139988
1001,-955,600,3.528878464350934,0.14077114256078171,0.6444526983368716
1000,-764,600,4.280295274510343,0.15986147728036984,0.4563132928475179
977,-635,400,3.6420547874462303,0.150975341274418,3.691053316910335
976,-508,400,4.308539490620874,0.15188138805675244,1.1998931071798102
975,-381,400,5.569296997398741,0.15225070500135995,1.7469044764809272
974,-254,400,7.35916426473435,0.18324354539898727,4.113825088492253
973,-127,400,9.28521804536926,0.24149639895117253,3.7188135480516045
972,-10,400,10.624606154383406,0.23690768509244714,3.1720644136043448
971,704,200,2.6309811076749834,0.14600927436375155,2.241049278050833
970,640,200,3.3697383663956555,0.14829693065504568,1.5341183603634534
1013,955,600,3.9445507407390648,0.14386846617722224,2.5294523004633302
979,-889,400,2.6608752342801982,0.14031141857832916,2.4448946236903626
978,-762,400,3.105320304754648,0.14464851430711428,1.1356446387229153
1038,1530,800,3.0886728112046073,0.1404149214882711,0.8105052684435182
1039,1785,800,2.810536783227262,0.13064048578651896,0.6695805696040047
1032,10,800,8.873688788840523,0.20771266955048945,0.15713855883653066
1033,255,800,8.554539059970184,0.21305606719039588,0.8989393554622961
1030,-2550,800,2.120067433624934,0.1402146794357393,1.9189027779859966
1031,-2805,800,1.980169565744322,0.12477110058777563,1.8925339265496293
1036,1020,800,4.479784413875801,0.1724954912309468,1.4504822883614228
1037,1275,800,3.767092707950178,0.14415758144200252,2.481410135191346
1034,510,800,7.09762578418534,0.18893704193645416,0.7056314154494062
1035,765,800,5.547149981543531,0.17463395517186495,0.35140364018610803
964,256,200,8.145344810900387,0.19388887423267875,3.1072622187559404
965,320,200,7.4667318822263775,0.17482497929920446,1.0954304945720734
966,384,200,6.897798712141477,0.19048662330464866,1.6670877210717878
967,448,200,6.096144589624579,0.18471726886330542,0.5693208818451033
960,10,200,11.729443972474417,0.22945200753242204,3.1441421726431806
961,64,200,11.285442561099222,0.24442014388226826,0.36875678467613354
962,128,200,10.312944141432233,0.23906563675967268,0.7953688376627207
963,192,200,9.203085228394718,0.20716089020715783,0.45138677031865254
968,512,200,5.0799887782494455,0.14615576599102273,0.08919879359236949
969,576,200,4.037625287787861,0.15128507662788923,2.3625876701740927
1027,-1785,800,2.776283972534707,0.14192418057127956,0.9167601901023482
959,-704,200,1.9384793016018642,0.13374530277052848,4.508332591256255
958,-640,200,2.119296808589413,0.13268990577327422,2.267261790193082
951,-192,200,6.0146458160770475,0.18235476239334628,1.9035189572655373
950,-128,200,8.012789591335501,0.18152989496550978,1.168108510579188
953,-320,200,3.872328620447021,0.14344814419083154,2.7644949228874096
952,-256,200,4.787183240681334,0.1626852219975597,1.7068779068231958
955,-448,200,2.852371387690315,0.1346092126644664,3.003438467753474
954,-384,200,3.191823949789662,0.14685307249514462,3.2652736677406975
957,-576,200,2.2678339120404702,0.13596413349425696,1.2257238627045843
956,-512,200,2.4219484811891516,0.13925584476270433,3.1446022731671577
1028,-2040,800,2.455667554077894,0.13992955039115257,3.1164327266095597
