Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.012171560128553249e+00,2.033130450192613403e-02,9.967602900000002153e-01,3.239710000000000679e-03,0.000000000000000000e+00,7.360930150885920398e-01,0.000000000000000000e+00,-6.720849268200188575e-01,2.392478839533888554e-03,0.000000000000000000e+00,-2.184437201313550909e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.926591786603121692e-01,1.903690678024788988e-02,9.739648584686951827e-01,2.934723276698933056e-03,-6.994721100884639720e-22,7.193259609282548483e-01,-2.182940710112443099e-04,-6.566412394546541353e-01,1.630030125907099611e-03,-8.161023191418211248e-05,-2.567178291665553509e-03,-6.032095202953122221e-21,-2.926436986287585418e-21,-5.569202600115532836e-21,5.000000000000000104e-03
9.500115664527651882e-01,1.990526200332690815e-02,9.516947833820388336e-01,2.848262570419641052e-03,-6.132307824451300584e-22,7.028830738835104563e-01,-2.198025840275581201e-04,-6.416216611285454618e-01,1.533402500931113762e-03,-8.658555259543419922e-05,-2.544779814546961182e-03,-6.573974640667744104e-21,-3.034270934677198535e-21,-6.290592978810126340e-21,1.000000000000000021e-02
9.228359366939558051e-01,1.849822212017679032e-02,9.299342673258946812e-01,2.781518262094923206e-03,1.151300696270592890e-17,6.868112201694768215e-01,-2.039130184547467749e-04,-6.269514332409819035e-01,1.493371961259256937e-03,-8.517508334883344711e-05,-2.489635183266099804e-03,8.520637621483390075e-18,2.694317946758284967e-20,-7.742661848206150182e-18,1.499999999999999944e-02
9.099954928469603521e-01,1.999562324287361414e-02,9.086713352599774529e-01,2.717787438357792493e-03,-3.210922777296152076e-22,6.711064636695709407e-01,-1.873195146499066484e-04,-6.126171067524993630e-01,1.458818533192397533e-03,-8.327087508841558351e-05,-2.432961069946816979e-03,-6.678533829317147951e-21,-2.772671736728228060e-21,-6.838376948390432740e-21,2.000000000000000042e-02
8.954705570505558931e-01,1.948955493625907295e-02,8.878945822159880485e-01,2.655638394463711791e-03,4.351072441272389976e-22,6.557607908425395760e-01,-1.713919237082458646e-04,-5.986105438407058887e-01,1.425437503503729480e-03,-8.136623395245271353e-05,-2.377348818082102109e-03,2.561947577096274655e-20,2.010694751385242811e-21,2.741412402979505627e-20,2.500000000000000139e-02
8.922203908448356202e-01,2.063255695201368298e-02,8.675928893537043773e-01,2.594920691909544542e-03,2.149070942233962980e-17,6.407660221811863899e-01,-1.562157497079449974e-04,-5.849242128082103864e-01,1.392851493731464205e-03,-7.950159995642718652e-05,-2.322988633579949145e-03,1.588824690520820113e-17,3.094925430978189339e-20,-1.447117439935507788e-17,2.999999999999999889e-02
8.706336055284454867e-01,1.938431800673492619e-02,8.477553942340509963e-01,2.535592025901863261e-03,-7.379237549034098787e-22,6.261141359719009092e-01,-1.417698677899439116e-04,-5.715507894012331613e-01,1.361012929685796865e-03,-7.767944493504647455e-05,-2.269869879824259768e-03,-8.921681363425366831e-21,-2.802690838355830351e-21,-8.676960315299194492e-21,3.500000000000000333e-02
8.397301292913325055e-01,1.901799147972655160e-02,8.283714829727948370e-01,2.477619837739861337e-03,2.020311110138502418e-22,6.117972914982752197e-01,-1.280252783171307164e-04,-5.584831197593720375e-01,1.329902265384358580e-03,-7.589907687910980795e-05,-2.217965676939825069e-03,-6.727479816373435851e-21,-2.263503595726872725e-21,-7.667821855741782594e-21,4.000000000000000083e-02
7.676437008645038418e-01,1.972327585470873973e-02,8.094307843874890551e-01,2.420973049142917041e-03,7.554153288931869944e-22,5.978078271481975792e-01,-1.149533521051921119e-04,-5.457142138081944038e-01,1.299502661224886599e-03,-7.415955910145533817e-05,-2.167248376512490981e-03,7.100355447517460920e-21,3.044447177619160125e-22,6.656233265686397807e-21,4.499999999999999833e-02
8.217000618319297844e-01,1.926173364388314782e-02,7.909231644338410305e-01,2.365621353995604140e-03,-8.200866689405747555e-22,5.841382565060000420e-01,-1.025264845711695134e-04,-5.332372412879166079e-01,1.269797851836327414e-03,-7.245995463555069576e-05,-2.117690846396226307e-03,1.987650033704977707e-20,2.441803498591909867e-21,2.298576009070908566e-20,5.000000000000000278e-02
8.096011646421422681e-01,1.957790953833253925e-02,7.728387207820256455e-01,2.311535144143643181e-03,3.655961140224930389e-22,5.707812643611018810e-01,-9.071811442736563494e-05,-5.210455280810918355e-01,1.240771959301612427e-03,-7.079934627498368717e-05,-2.069266565227604032e-03,-1.261690081109664432e-20,-1.087545183464036599e-21,-1.436072118655686453e-20,5.500000000000000028e-02
7.744587378618082996e-01,2.049547181994530037e-02,7.551677775186891317e-01,2.258685488698869426e-03,3.747238905311619435e-17,5.577297027938922236e-01,-7.950269035644002224e-05,-5.091325526421126568e-01,1.212409469743826749e-03,-6.917683779173097183e-05,-2.021949617376994027e-03,2.768895857426399482e-17,3.717533394021497592e-20,-2.524880368657356497e-17,5.999999999999999778e-02
7.352373460069093758e-01,1.856103557976263030e-02,7.379008799697961418e-01,2.207044118161255539e-03,3.376205401439582804e-17,5.449765873496467128e-01,-6.885563456357840441e-05,-4.974919425095147840e-01,1.184695223792419641e-03,-6.759155359487757793e-05,-1.975714679841915778e-03,2.362706856264473909e-17,5.495631105664278094e-20,-2.419479141027872353e-17,6.500000000000000222e-02
6.848555621280083550e-01,1.921459150135658780e-02,7.210287896421095910e-01,2.156583409273017497e-03,2.418137014087613972e-22,5.325150933000417641e-01,-5.875330726538876267e-05,-4.861174708982864967e-01,1.157614408388352601e-03,-6.604263826446866428e-05,-1.930537008759671989e-03,-8.630452004767183098e-21,-1.919730499422709690e-21,-9.811030525721684346e-21,7.000000000000000666e-02
7.004944610663549343e-01,1.955879455740512640e-02,7.045424792801482372e-01,2.107276370234500550e-03,2.788512095960714094e-21,5.203385519900356471e-01,-4.917297241337328971e-05,-4.750030533699408086e-01,1.131152548863053817e-03,-6.452925608515326433e-05,-1.886392426156660715e-03,-2.283254699550908228e-21,-5.434171454446076852e-22,-6.636313036433185084e-21,7.499999999999999722e-02
7.192994302836114295e-01,1.994777111143017367e-02,6.884331280362196992e-01,2.059096626278723169e-03,9.936161348998543505e-22,5.084404472683502485e-01,-4.009276463610677286e-05,-4.641427445787281725e-01,1.105295501215089243e-03,-6.305059059204117476e-05,-1.843257307013049370e-03,-6.607235304348163487e-21,-1.453193511258036547e-21,-8.710114793151052047e-21,8.000000000000000167e-02
6.508239042855694656e-01,1.938618866228039583e-02,6.726921167510155897e-01,2.012018405565010361e-03,4.755784249257048980e-21,4.968144119996904529e-01,-3.149165736011669899e-05,-4.535307350923004077e-01,1.080029444558270550e-03,-6.160584412563698789e-05,-1.801108566612933922e-03,-7.012175849045261699e-21,2.412634802217394352e-21,-1.473324301048300123e-20,8.500000000000000611e-02
6.771106801771709094e-01,1.968733207769816224e-02,6.573110233419441339e-01,1.966016525396561444e-03,1.911677382362529973e-22,4.854542246566138086e-01,-2.334943206820823403e-05,-4.431613482849202645e-01,1.055340873742670977e-03,-6.019423739561758849e-05,-1.759923648185537188e-03,3.822805062355650753e-21,7.279539374072311799e-22,3.903363383932614301e-21,8.999999999999999667e-02
6.153448122622204863e-01,2.010951253875475214e-02,6.422816182970974008e-01,1.921066378756578971e-03,4.205270399550361948e-21,4.743538059894971681e-01,-1.564664865512640298e-05,-4.330290373018039762e-01,1.031216592146403255e-03,-5.881500905805067437e-05,-1.719680510831837891e-03,-1.579209863368595928e-20,-4.251040077792724465e-21,-2.353288908838457455e-20,9.500000000000000111e-02
6.365036057600089725e-01,1.922099046767319561e-02,6.275958602719422519e-01,1.877143921147523880e-03,-2.576993354495833510e-21,4.635072157724438036e-01,-8.364616842300589368e-06,-4.231283820926384220e-01,1.007643704629108223e-03,-5.746741529999285840e-05,-1.680357617723655375e-03,1.119616806563481833e-20,2.936932481618474397e-21,1.608437463904315004e-20,1.000000000000000056e-01
6.067463440101725780e-01,1.986365399521148462e-02,6.132458917869521020e-01,1.834225657732552325e-03,2.349901123045837984e-17,4.529086496238141635e-01,-1.485368614281259905e-06,-4.134540865130708065e-01,9.846096106468102491e-04,-5.615072943519246055e-05,-1.641933924574150681e-03,1.735703207117103159e-17,1.822291140219399576e-20,-1.584099085349425998e-17,1.049999999999999961e-01
6.304222930585977602e-01,2.081376629394309993e-02,5.992240350237300062e-01,1.792288630774818833e-03,1.627797858986796033e-21,4.425524358995658880e-01,5.008368359527508697e-06,-4.040009754925265595e-01,9.621019975267858194e-04,-5.486424150701656936e-05,-1.604388868374847935e-03,-7.091190465117915340e-21,-2.392705885939460048e-21,-1.018070747159237277e-20,1.100000000000000006e-01
5.629954225016505776e-01,1.949466000516122954e-02,5.855227877167289430e-01,1.751310407355253758e-03,-4.435228281331897409e-21,4.324330326572681793e-01,1.113319635084557952e-05,-3.947639922664016310e-01,9.401088338903045103e-04,-5.360725790253463872e-05,-1.567702356383694068e-03,-1.449574653407955229e-20,4.347598707448075351e-21,-9.298465260756533361e-21,1.150000000000000050e-01
5.866942976001758847e-01,1.953746216588926263e-02,5.721348191396116167e-01,1.711269067383837513e-03,5.698856776201827778e-17,4.225450246900742668e-01,1.690507228291923507e-05,-3.857381956719914684e-01,9.186183632332297960e-04,-5.237910097716859018e-05,-1.531854755375510651e-03,4.209857177207036045e-17,4.409091342993795297e-20,-3.841103359462857237e-17,1.199999999999999956e-01
5.594005973672613319e-01,1.990218848243929806e-02,5.590529661826404428e-01,1.672143191867523238e-03,-3.173460300971977160e-17,4.128831206279898747e-01,2.233933155290385598e-05,-3.769187575057209583e-01,8.976190976433801429e-04,-5.117910868139437491e-05,-1.496826881123286676e-03,-2.343759172453538950e-17,-2.322075485605578818e-20,2.139542781908756845e-17,1.250000000000000000e-01
5.645326035990911873e-01,2.044056670757725402e-02,5.462702295204784342e-01,1.633911851465429891e-03,5.019540751844053159e-17,4.034421501059742843e-01,2.745071100269841119e-05,-3.683009599412649937e-01,8.770998116714401284e-04,-5.000663420547480032e-05,-1.462599988137351648e-03,3.517853020821251937e-17,6.835075123018169839e-20,-3.591528038221390534e-17,1.300000000000000044e-01
5.131270618460711530e-01,2.018843575302776278e-02,5.337797698670534441e-01,1.596554595292038348e-03,5.176311641193218948e-21,3.942170609964006367e-01,3.225337106386471134e-05,-3.598801930063001420e-01,8.570495363347695921e-04,-4.886104562438106885e-05,-1.429155759626797324e-03,-8.794003705081296385e-21,3.029825235629495812e-20,-1.730844738569008916e-20,1.350000000000000089e-01
5.510757697795892751e-01,1.971585788257668517e-02,5.215749043162908327e-01,1.560051439977330843e-03,1.441560784920878873e-21,3.852029167049922376e-01,3.676091710836651080e-05,-3.516519521170893836e-01,8.374575532587161860e-04,-4.774172555528764675e-05,-1.396476297691374383e-03,-7.635647628577406675e-21,-7.474555670269365724e-22,-1.050081195020448995e-20,1.400000000000000133e-01
5.072473612840210366e-01,1.985400678249872944e-02,5.096491027666275597e-01,1.524382858987484782e-03,-5.359426310417279831e-17,3.763948935286886566e-01,4.098642003225077862e-05,-3.436118356694899956e-01,8.183133889566817330e-04,-4.664807082210484495e-05,-1.364544113747843262e-03,-3.958792691241637227e-17,-3.929852914337839288e-20,3.612673902220444535e-17,1.449999999999999900e-01
4.988198879686496778e-01,2.061779202279489381e-02,4.979959844268885272e-01,1.489529772174966616e-03,2.750282262330668335e-21,3.677882780736563828e-01,4.494243609880080662e-05,-3.357555426847585456e-01,7.996068092335601677e-04,-4.557949212698417523e-05,-1.333342119161423081e-03,7.454616659494771668e-22,-2.355735202627177625e-21,-3.262449331270357224e-21,1.499999999999999944e-01
4.879059493451850527e-01,2.032794607840952492e-02,4.866093144026110151e-01,1.455473535581032528e-03,-4.750223894662984333e-21,3.593784647327639137e-01,4.864102606906008878e-05,-3.280788705095394331e-01,7.813278137240002455e-04,-4.453541373063103293e-05,-1.302853616103917317e-03,-1.018913789169946691e-19,8.350979937788041857e-19,-1.045503253646881475e-19,1.549999999999999989e-01
4.663927310630555656e-01,1.959181173790555675e-02,4.754830003599115340e-01,1.422195931459960608e-03,1.835991192792549009e-21,3.511609532203753270e-01,5.209377364215239301e-05,-3.205777125680775996e-01,7.634666305489922226e-04,-4.351527313865215745e-05,-1.273062288611096328e-03,-5.846022208391640424e-21,-4.427018502710777738e-22,-9.125720549090184554e-21,1.600000000000000033e-01
4.732196520435181242e-01,1.994056418063851199e-02,4.646110892659033320e-01,1.389679158539842280e-03,1.177644049579834115e-22,3.431313461637280904e-01,5.531180323260477755e-05,-3.132480561659887197e-01,7.460137110992962148e-04,-4.251852079698630808e-05,-1.243952193851992610e-03,-2.726951735420580198e-21,-1.504004925442046371e-22,-3.161316260159748357e-21,1.650000000000000078e-01
4.965922670733614597e-01,1.993946067780174095e-02,4.539877642036957983e-01,1.357905822501315283e-03,7.572177303126016273e-21,3.352853467494379958e-01,5.830579710624191124e-05,-3.060859803442658178e-01,7.289597249353083411e-04,-4.154461979243260778e-05,-1.215507753593893887e-03,-3.564964412157313047e-21,1.062483431618061798e-21,-1.513468111173347095e-20,1.700000000000000122e-01
4.566044221236923439e-01,2.032989632549976264e-02,4.436073412598253718e-01,1.326858926673568162e-03,-6.780906630581205336e-22,3.276187564235436556e-01,6.108601189749922550e-05,-2.990876537820664205e-01,7.122955548033418818e-04,-4.059304556104580369e-05,-1.187713745862072155e-03,1.006375257510155048e-21,5.889243603456921787e-22,2.107887838327748565e-21,1.750000000000000167e-01
4.302201487836411209e-01,1.984832861248070346e-02,4.334642664835255954e-01,1.296521862947919851e-03,-4.359008031653065211e-22,3.201274726446489693e-01,6.366229453149858399e-05,-2.922493327478912217e-01,6.960122917680907836e-04,-3.966328560418144132e-05,-1.160555296794942319e-03,7.751985805208190259e-23,1.077816955283777606e-21,7.313814332109181194e-22,1.799999999999999933e-01
4.192994896113438896e-01,2.013834484781532735e-02,4.235531129148433216e-01,1.266878402892862880e-03,3.958843279035457775e-21,3.128074866879541061e-01,6.604409756955231131e-05,-2.855673590971307685e-01,6.801012304530592092e-04,-3.875483920904135868e-05,-1.134017872679764791e-03,2.027532547887763619e-21,4.326416473322548580e-20,-3.650677363231548092e-21,1.849999999999999978e-01
3.992761952595581532e-01,1.955719340896765884e-02,4.138685776809619687e-01,1.237912689075006557e-03,6.061643694527378389e-21,3.056548814996989938e-01,6.824049400094165860e-05,-2.790381583155562284e-01,6.645538643909973831e-04,-3.786721717833540981e-05,-1.108087272173229054e-03,-5.515223250592634206e-21,-6.017584300651084742e-21,-1.503042641656269640e-20,1.900000000000000022e-01
4.027559879215883432e-01,2.095688203260780841e-02,4.044054791593043041e-01,1.209609226581290133e-03,5.204457435840647299e-21,2.986658296009663816e-01,7.026019149860962120e-05,-2.726582376077889003e-01,6.493618814822616327e-04,-3.699994156268423428e-05,-1.082749618702337231e-03,-9.368176027084956134e-21,-5.308553140685762022e-21,-1.797904544277140496e-20,1.950000000000000067e-01
3.755655003004245152e-01,2.119699832288998026e-02,3.951587542047955148e-01,1.181952874728604873e-03,-4.072638167102186753e-21,2.918365910389057460e-01,7.211154615905292101e-05,-2.664241840289887642e-01,6.345171595531608547e-04,-3.615254540352154903e-05,-1.057991353033723011e-03,1.521010289768775808e-21,3.027977735728188761e-21,7.705944359126268595e-21,2.000000000000000111e-01
4.122462184671615848e-01,1.881433236435739453e-02,3.861234554409371245e-01,1.154928838967469442e-03,2.764067977263644053e-22,2.851635113851215819e-01,7.380257574411778218e-05,-2.603326626595233173e-01,6.200117620183670910e-04,-3.532457247800308833e-05,-1.033799226016792047e-03,-5.692339325365840275e-21,4.517604671166995987e-21,-6.644402155996384414e-21,2.050000000000000155e-01
3.976448871293506437e-01,2.074448026852937846e-02,3.772947486131178474e-01,1.128522662972371738e-03,2.910716517800220965e-17,2.786430197800591757e-01,7.534097244260587142e-05,-2.543804148215604854e-01,6.058379336432316489e-04,-3.451557705217897352e-05,-1.010160291494283970e-03,2.149672404383142418e-17,1.849875110695985953e-20,-1.962442164914688341e-17,2.099999999999999922e-01
3.566384783695382699e-01,1.944316100513046250e-02,3.686679100015083366e-01,1.102720220905111653e-03,-3.615913004045683134e-17,2.722716270214309842e-01,7.673411516811586247e-05,-2.485642563357956525e-01,5.919880963985284803e-04,-3.372512363921215627e-05,-9.870618993681832404e-04,-2.607303039169022469e-17,1.210134686348277457e-18,2.507095267183400973e-17,2.149999999999999967e-01
3.486644321301052840e-01,1.981990668980824349e-02,3.602383238941287424e-01,1.077507709864012090e-03,2.612848482547998286e-21,2.660459236971143837e-01,7.798908141068917248e-05,-2.428810758187131547e-01,5.784548454146907831e-04,-3.295278676327841315e-05,-9.644916888323158861e-04,-1.155756661157432402e-21,-3.172143757286392402e-21,-5.140909844472628837e-21,2.200000000000000011e-01
3.526492045501049555e-01,2.031611337772189912e-02,3.520014801170471275e-01,1.052871642499783773e-03,3.016719647898225213e-21,2.599625783602735885e-01,7.911265865692370444e-05,-2.373278330183315465e-01,5.652309450254445165e-04,-3.219815072806035564e-05,-9.424375817542000053e-04,-1.976177634319634388e-21,-2.959004531016106365e-21,-6.638442146582329082e-21,2.250000000000000056e-01
3.531008913683704731e-01,1.935718390280469214e-02,3.439529716214078103e-01,1.028798839804339824e-03,-3.314226574732415980e-21,2.540183357464837477e-01,8.011135539530288730e-05,-2.319015571882311055e-01,5.523093249037830908e-04,-3.146080939306290835e-05,-9.208877762122603819e-04,-1.369499652866294909e-20,2.380892821670521190e-21,-1.008399619482948320e-20,2.300000000000000100e-01
