Peff,Peff_err,PeffA,PeffB,PeffC,Mxa,Mya,Mza,Mxb,Myb,Mzb,Mxc,Myc,Mzc,time
1.044567538314202126e+00,1.884330761499057247e-02,9.967602900000001043e-01,3.239709999999999812e-03,0.000000000000000000e+00,3.418289478397412151e-01,0.000000000000000000e+00,9.363140745175518864e-01,1.111026062851970140e-03,0.000000000000000000e+00,3.043245302594526237e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.871537015842191121e-01,2.014998019169383231e-02,9.853176103862240076e-01,2.886986384967846903e-03,-5.703524628695633955e-21,3.378986479535086573e-01,2.359088746003183343e-04,9.255675540398120571e-01,1.804228991024315080e-03,-2.322483960826546875e-04,2.414676602835175157e-03,-7.815093815079403903e-21,-3.423888688917593419e-21,-3.218601160509253990e-21,5.000000000000000104e-03
9.924040219936475227e-01,2.076605849400312009e-02,9.739669244677706672e-01,2.827204370738094566e-03,-6.419023581498148858e-21,3.340065860898849270e-01,2.372219205519630512e-04,9.149050062391170801e-01,1.842774883529434441e-03,-2.491007127770726993e-04,2.336962893622277024e-03,-8.458429838843961573e-21,-6.710859093417727917e-21,-3.745422321275692489e-21,1.000000000000000021e-02
9.825884478596543792e-01,2.007220231526648732e-02,9.627436846154238115e-01,2.792397985872790804e-03,2.775661141746032449e-23,3.301587412782118203e-01,2.196581335107553111e-04,9.043619893869712101e-01,1.826516640847752502e-03,-2.478764112686790075e-04,2.305845040034951859e-03,-6.743874454567191008e-21,-5.572306361542084350e-20,2.491597916453369045e-21,1.499999999999999944e-02
9.611418311933228598e-01,1.958251021321680274e-02,9.516494938551668392e-01,2.760034473110564365e-03,-6.957325600359470840e-21,3.263551460070607257e-01,2.013168497969609308e-04,8.939401981360052263e-01,1.805876571404994597e-03,-2.451627553436926447e-04,2.278927479110403730e-03,-8.488941193647200692e-21,-1.283102091298111128e-20,-4.307336775449986663e-21,2.000000000000000042e-02
9.607818405669033002e-01,2.057652732859236583e-02,9.406831235019489368e-01,2.728215480065317340e-03,-1.348257069784200659e-21,3.225953375121570765e-01,1.836860641482535657e-04,8.836384934258638690e-01,1.785090672838774957e-03,-2.423538076393780391e-04,2.252642830007830707e-03,7.183935392951261969e-21,2.363219318143274319e-20,-4.058003919840289183e-21,2.500000000000000139e-02
9.543928886522701216e-01,1.934978579474878890e-02,9.298431223622581898e-01,2.696777501191997221e-03,3.552688214503809506e-22,3.188788166393433654e-01,1.668587031621499332e-04,8.734555126083077825e-01,1.764512451394330749e-03,-2.395664219601909397e-04,2.226687973816505496e-03,-7.280484011521445978e-21,-6.341660318690606990e-20,3.036158614174483220e-21,2.999999999999999889e-02
9.204322422279855864e-01,2.031222611106279705e-02,9.191280360550442285e-01,2.665702930082294864e-03,1.692780345460913827e-21,3.152050864158637000e-01,1.508117158511952866e-04,8.633898888453939158e-01,1.744169073059661026e-03,-2.368100874976407561e-04,2.201034249758514368e-03,6.511586076939705690e-21,-1.303501267401728298e-20,-5.751834817582798167e-22,3.500000000000000333e-02
9.108492814332386223e-01,1.973152539403734071e-02,9.085364252834671195e-01,2.634986470909359002e-03,-7.876913406405802970e-21,3.115736552394522962e-01,1.355135474594172109e-04,8.534402693965360553e-01,1.724060300988909493e-03,-2.340852714499596298e-04,2.175676106588521948e-03,-8.431934848028337305e-21,-2.339621345658893732e-20,-5.307102829229138189e-21,4.000000000000000083e-02
8.566034071739698774e-01,2.000299316468943239e-02,8.980668671951124171e-01,2.604623906686590312e-03,1.785312096824812358e-21,3.079840370892583667e-01,1.209331242674631840e-04,8.436053169895266768e-01,1.704183624454912215e-03,-2.313916861356603131e-04,2.150609971695958446e-03,1.582831533691582237e-20,-2.248162229413760791e-21,-3.878023702882936678e-21,4.499999999999999833e-02
