offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-6.000000000000000000e+02,2.000000000000000000e+02,2.096330213659971076e+00,4.779799373246726435e-02,7.463302136599711645e+00,4.779799373246724770e-01,1.002259246975178764e+00
-5.478260869565217490e+02,2.000000000000000000e+02,2.156941319972839111e+00,4.955621919167167017e-02,7.085864002339938850e+00,4.213683817091475881e-01,9.966592858720010328e-01
-4.956521739130434980e+02,2.000000000000000000e+02,2.222266122178340186e+00,5.318980776257693777e-02,6.658263534196164457e+00,3.798697423951147290e-01,9.897748976592430914e-01
-4.434782608695652470e+02,2.000000000000000000e+02,2.416858353384036651e+00,4.907798659233275629e-02,6.924889690155075606e+00,2.903858185897949529e-01,9.998090955911056454e-01
-3.913043478260869961e+02,2.000000000000000000e+02,2.746699180594883494e+00,5.467419773221069562e-02,7.519035363401386007e+00,2.639657864046618396e-01,1.008007058364513542e+00
-3.391304347826086882e+02,2.000000000000000000e+02,3.046868848592406920e+00,5.606513879114140286e-02,7.494482305509328590e+00,2.172656607218144964e-01,1.006033471034151194e+00
-2.869565217391304373e+02,2.000000000000000000e+02,3.487503107549772885e+00,6.036541199667675578e-02,7.578979259008566061e+00,1.846337176004214653e-01,1.009961948344229477e+00
-2.347826086956521863e+02,2.000000000000000000e+02,4.084721696195807716e+00,6.488700246600340171e-02,7.646653863543147800e+00,1.543059529342764857e-01,1.005882203555060306e+00
-1.826086956521739353e+02,2.000000000000000000e+02,4.641182839348964251e+00,6.603179426136009111e-02,7.259824866103018692e+00,1.210790934471064478e-01,9.964776706102101977e-01
-1.304347826086956843e+02,2.000000000000000000e+02,5.655280682624862720e+00,8.038704446255330593e-02,7.422649593004058133e+00,1.145781314267773215e-01,9.965642825545715233e-01
-7.826086956521737648e+01,2.000000000000000000e+02,6.893661794025987000e+00,9.097850214529729085e-02,7.719534393867395927e+00,1.049090478424033190e-01,9.880392684696396310e-01
-2.608695652173912549e+01,2.000000000000000000e+02,7.712780786914333220e+00,1.093979012459612155e-01,7.818480271001721604e+00,1.112591131764218005e-01,9.953960257175190618e-01
2.608695652173912549e+01,2.000000000000000000e+02,8.144769332209435220e+00,1.130878227402757757e-01,8.257818337861390745e+00,1.150118121630781948e-01,9.999276218953626616e-01
7.826086956521737648e+01,2.000000000000000000e+02,7.390747995351068411e+00,9.784397645178609382e-02,8.292733983297072342e+00,1.128257573451597745e-01,9.900692438185486610e-01
1.304347826086956275e+02,2.000000000000000000e+02,6.647424729896290074e+00,9.087724179282913317e-02,8.836783074370137214e+00,1.295301329145428226e-01,9.809341485069584810e-01
1.826086956521738784e+02,2.000000000000000000e+02,5.741683043541642384e+00,7.863851590274768821e-02,9.277755297231365716e+00,1.441953883282896809e-01,9.945092764688850950e-01
2.347826086956521294e+02,2.000000000000000000e+02,5.068370008024749573e+00,7.306169904962074579e-02,9.985840208119345363e+00,1.737459686283986116e-01,9.995850583751246798e-01
2.869565217391303804e+02,2.000000000000000000e+02,4.356463587063468701e+00,6.868694457598467640e-02,1.023678276723759950e+01,2.100859665859039216e-01,1.007456037736450760e+00
3.391304347826086314e+02,2.000000000000000000e+02,3.755673130459149522e+00,6.033749007075712989e-02,1.024126638457703997e+01,2.338220314651267839e-01,1.005695351714533725e+00
3.913043478260868824e+02,2.000000000000000000e+02,3.144809096502731993e+00,5.899430181638783827e-02,9.441101006555721042e+00,2.848231509244886217e-01,9.960426087502576298e-01
4.434782608695652470e+02,2.000000000000000000e+02,2.817216650959907476e+00,5.279029900756089522e-02,9.293739352560510980e+00,3.123509185135455724e-01,1.000583609169285459e+00
