offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
6.000000000000000000e+02,2.000000000000000000e+02,-7.803927252136986681e+00,-7.803927252136986681e+00,-4.958258924432977892e+02,-4.958258924432977892e+02,-2.061735978127205549e+00,-4.917765590310019661e+02,-6.725000426700262324e+00,-6.725000426700262324e+00,-2.049999146599617461e+00
5.478260869565217490e+02,2.000000000000000000e+02,-7.754820679775662029e+00,-7.754820679775662029e+00,-4.958112941904389572e+02,-4.958112941904389572e+02,-2.162344357899816050e+00,-4.918033603016715460e+02,-6.676579046651681892e+00,-6.676579046651681892e+00,-2.146841906697531055e+00
4.956521739130434980e+02,2.000000000000000000e+02,-4.957940099874850830e+02,-4.957940099874850830e+02,-7.692322932650540679e+00,-7.692322932650540679e+00,-2.290972864198602910e+00,-4.918342956955322620e+02,-6.614942531968722506e+00,-6.614942531968722506e+00,-2.270114936063323707e+00
4.434782608695652470e+02,2.000000000000000000e+02,-7.611496694848483457e+00,-7.611496694848483457e+00,-4.957733601267185577e+02,-4.957733601267185577e+02,-2.458198784450662533e+00,-4.918700219724208864e+02,-6.535224681260910273e+00,-6.535224681260910273e+00,-2.429550637478401054e+00
3.913043478260869961e+02,2.000000000000000000e+02,-7.505206520951333005e+00,-7.505206520951333005e+00,-4.957484452587081023e+02,-4.957484452587081023e+02,-2.679449473380794533e+00,-4.919111813673005145e+02,-6.430404709701818433e+00,-6.430404709701818433e+00,-2.639190580596245894e+00
3.391304347826086882e+02,2.000000000000000000e+02,-7.363141851873706401e+00,-7.363141851873706401e+00,-4.957180612507700630e+02,-4.957180612507700630e+02,-2.977273672805401006e+00,-4.919582545219076906e+02,-6.290367784703107645e+00,-6.290367784703107645e+00,-2.919264430593748294e+00
2.869565217391304373e+02,2.000000000000000000e+02,-7.170733305333101271e+00,-7.170733305333101271e+00,-4.956805776414278171e+02,-4.956805776414278171e+02,-3.384028753896930919e+00,-4.920112837525805958e+02,-6.100898718996631942e+00,-6.100898718996631942e+00,-3.298202562007066074e+00
2.347826086956521863e+02,2.000000000000000000e+02,-6.908915833396918060e+00,-6.908915833396918060e+00,-4.956337660199490074e+02,-4.956337660199490074e+02,-3.943096556008943487e+00,-4.920694741372992667e+02,-5.843604082009903777e+00,-5.843604082009903777e+00,-3.812791835979802091e+00
1.826086956521739069e+02,2.000000000000000000e+02,-4.955745671291507506e+02,-4.955745671291507506e+02,-6.558182218837714572e+00,-6.558182218837714572e+00,-4.701396127540273362e+00,-4.921310395764825216e+02,-5.500260970438773711e+00,-5.500260970438773711e+00,-4.499478059122088425e+00
1.304347826086956843e+02,2.000000000000000000e+02,-4.954988114196474385e+02,-4.954988114196474385e+02,-6.116026052271095637e+00,-6.116026052271095637e+00,-5.673313644353964236e+00,-4.921949458118118628e+02,-5.070625651214072604e+00,-5.070625651214072604e+00,-5.358748697572154107e+00
7.826086956521737648e+01,2.000000000000000000e+02,-4.954010257388031278e+02,-4.954010257388031278e+02,-5.639897838772640171e+00,-5.639897838772640171e+00,-6.747329550217347816e+00,-4.922687576946306081e+02,-4.615164632983237425e+00,-4.615164632983237425e+00,-6.269670734033386594e+00
2.608695652173912904e+01,2.000000000000000000e+02,-4.952749356269179657e+02,-4.952749356269179657e+02,-5.289880128756806243e+00,-5.289880128756806243e+00,-7.582863840715263315e+00,-4.923854390479350513e+02,-6.907992536549786955e+00,-4.296003731725136277e+00,-4.296003731725136277e+00
-2.608695652173912904e+01,2.000000000000000000e+02,-4.951171838718233857e+02,-4.951171838718233857e+02,-5.245479575642605141e+00,-5.245479575642605141e+00,-7.759618760395223802e+00,-4.926129887446733733e+02,-4.296003731725136277e+00,-4.296003731725136277e+00,-6.907992536549738993e+00
-7.826086956521737648e+01,2.000000000000000000e+02,-5.479006667970821809e+00,-5.479006667970821809e+00,-4.949430723591319747e+02,-4.949430723591319747e+02,-4.930277284668437119e+02,-7.226047878951966652e+00,-6.269670734033198300e+00,-4.615164632983123738e+00,-4.615164632983123738e+00
-1.304347826086956275e+02,2.000000000000000000e+02,-5.754426083372663925e+00,-5.754426083372663925e+00,-4.947855403500256557e+02,-4.947855403500256557e+02,-4.936729573286188497e+02,-6.345044204586133496e+00,-5.358748697571896535e+00,-5.070625651214072604e+00,-5.070625651214072604e+00
-1.826086956521738784e+02,2.000000000000000000e+02,-6.222461526104307694e+00,-6.222461526104307694e+00,-4.943296942228801072e+02,-4.943296942228801072e+02,-5.461498935710284108e+00,-4.945321239663203983e+02,-5.500260970438830554e+00,-5.500260970438830554e+00,-4.499478059122114182e+00
-2.347826086956521294e+02,2.000000000000000000e+02,-6.754855860681221458e+00,-6.754855860681221458e+00,-4.937096110439247241e+02,-4.937096110439247241e+02,-4.702151306724193347e+00,-4.954668492840630165e+02,-5.843604082010074308e+00,-5.843604082010074308e+00,-3.812791835979743915e+00
-2.869565217391303804e+02,2.000000000000000000e+02,-7.095050711491920126e+00,-7.095050711491920126e+00,-4.933492903640525356e+02,-4.933492903640525356e+02,-4.961485992240847054e+02,-4.060653024827554525e+00,-6.100898718996745629e+00,-6.100898718996745629e+00,-3.298202562007064298e+00
